job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,salary,skills,salario_min,salario_max,salario_avg,estado,pais,tem_python,tem_sql,tem_r,tem_machine_learning,tem_aws,tem_spark,tem_deep_learning,tem_scikit_learning,tem_tensorflow,tem_pytorch,tem_azure,tem_gcp,tem_tableau,tem_pandas,tem_git,tem_java,tem_powerbi,salario_predito
Cientista de Dados,Sênior,Híbrido,company_081,"New York, NY . Hybrid",7 days ago,"San Francisco, CA, US",Tecnologia,Pública,"5,030",€4.47B,"€135,178 - €168,971",[],135178.0,168971.0,152074.5,NY,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146382.360490483
Cientista de Dados,Sênior,Híbrido,company_291,"Alpharetta, GA . Hybrid",7 days ago,"Bengaluru, KA, IN",Tecnologia,Pública,"261,070",€71.33B,"€85,860 - €150,249","['pytorch', 'spark', 'aws', 'r', 'python', 'scala', 'java', 'sql', 'machine learning', 'gcp', 'deep learning', 'azure', 'tensorflow', 'tableau']",85860.0,150249.0,118054.5,GA,US,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,121635.8976711199
Cientista de Dados,Líder,Não Informado,company_268,"Singapore, Singapore",20 days ago,"Singapore, SG",Finanças,Pública,"30,840",Public,"€67,039","['spark', 'git', 'python', 'sql', 'machine learning', 'hadoop', 'deep learning']",67039.0,67039.0,67039.0,,,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,92081.23393891295
Engenheiro de Machine Learning,Sênior,Presencial,company_883,"Newport Beach, CA",19 days ago,"Walldorf, BW, DE",Tecnologia,Pública,"117,760",€104.21B,"€114,169 - €127,869","['pytorch', 'machine learning', 'database', 'deep learning', 'tensorflow']",114169.0,127869.0,121019.0,CA,US,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,127478.2726388889
Cientista de Dados,Sênior,Presencial,company_134,"Seattle, WA . Santa Clara, CA",11 days ago,"Seattle, WA, US",Varejo,Pública,"865,476",€832.76B,"€149,803 - €168,061","['amazon', 'aws', 'r', 'python', 'sql', 'machine learning', 'tableau']",149803.0,168061.0,158932.0,WA,US,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,162600.59435977542
Cientista de Dados,Sênior,Híbrido,company_357,"Irving, TX . Lake Mary, FL . Basking Ridge, NJ . Boston, MA . Hybrid",6 days ago,"Basking Ridge, NJ, US",Tecnologia,Pública,"132,040",€142.23B,"€73,984","['pandas', 'numpy', 'pytorch', 'spark', 'r', 'python', 'java', 'sklearn', 'sql', 'machine learning', 'keras', 'deep learning', 'matplotlib', 'tensorflow', 'tableau']",73984.0,73984.0,73984.0,TX,US,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,114572.13551428687
Cientista de Dados,Sênior,Não Informado,company_931,"Bengaluru, Karnataka, India",13 days ago,"Seattle, WA, US",Tecnologia,Pública,"26,090",Public,"€32,733","['sql', 'tableau', 'python']",32733.0,32733.0,32733.0,,IN,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,69265.6951488685
Cientista de Dados,Sênior,Remoto,company_236,Canada . Fully Remote,14 days ago,"Miami, FL, US",Tecnologia,Privada,30,Private,"€137,004 - €155,270","['sql', 'machine learning', 'tableau', 'python']",137004.0,155270.0,146137.0,,CA,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,115102.08099783547
Cientista de Dados,Sênior,Presencial,company_233,"Bethesda, MD . On-site",a month ago,"Reston, VA, US",Tecnologia,Pública,"27,410",Public,"€95,587 - €172,786","['amazon', 'aws', 'git', 'r', 'python', 'docker', 'sql', 'kubernetes', 'hadoop']",95587.0,172786.0,134186.5,MD,US,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,152689.4508445853
Cientista de Dados,Pleno,Presencial,company_316,"Noida, Uttar Pradesh, India",7 days ago,"Eden Prairie, MN, US",Saúde,Pública,"37,950",Public,"€18,199","['spark', 'python', 'sql', 'machine learning', 'deep learning']",18199.0,18199.0,18199.0,,IN,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,21182.63022981281
