job_title,seniority_level,status,company,location,post_date,headquarter,industry,ownership,company_size,revenue,salary,skills
Cientista de Dados,Sênior,,company_343,"Edinburgh, Scotland, United Kingdom",a day ago,"Edinburgh, GB",Finanças,Pública,"60,010",€24.78B,"€59,677","['machine learning', 'python']"
Cientista de Dados,Sênior,Presencial,company_201,"Milwaukee, WI",8 days ago,"Deerfield, IL, US",Saúde,Pública,"48,050",€25.16B,"€102,300 - €140,660","['spark', 'python', 'scala', 'machine learning', 'database', 'azure', 'tableau']"
Cientista de Dados,Pleno,Presencial,company_352,"Pune, Maharashtra, India . On-site",3 months ago,"Evanston, IL, US",Tecnologia,Privada,"12,090",Private,"€13,173","['amazon', 'r', 'python', 'java', 'database', 'hadoop', 'machine learning']"
Cientista de Dados,Sênior,Remoto,company_353,Fully Remote,2 months ago,"Washington, US",Tecnologia,Privada,351,Private,"€164,400",[]
Cientista de Dados,Sênior,Presencial,company_355,"Seattle, WA",a month ago,"San Francisco, CA, US",Tecnologia,Pública,"65,870",€130.59B,"€125,223 - €216,007","['sql', 'r', 'python']"
Cientista de Dados,Sênior,Presencial,company_184,"Johns Creek, GA",6 days ago,"New York, NY, US",Varejo,Pública,"130,020",€5.18B,"€137,000",['machine learning']
Cientista de Dados,Sênior,Híbrido,company_357,"Basking Ridge, NJ . Irving, TX . Temple Terrace, FL . Boston, MA . Ashburn, VA + 1 More . Hybrid",8 days ago,"Basking Ridge, NJ, US",Tecnologia,Pública,"132,060",€142.23B,"€92,254","['python', 'sql', 'machine learning', 'database', 'hadoop', 'deep learning']"
Cientista de Dados,Sênior,,company_360,"Itanagar, Arunachal Pradesh, India",2 months ago,"Mumbai, MH, IN",Finanças,Privada,"78,060",Private,"€12,924","['pandas', 'numpy', 'pytorch', 'spark', 'aws', 'git', 'scikit-learn', 'python', 'docker', 'scipy', 'hadoop', 'machine learning', 'database', 'keras', 'deep learning', 'matplotlib', 'tensorflow']"
Cientista de Dados,Sênior,Remoto,company_362,Fully Remote,16 days ago,"San Francisco, CA, US",Tecnologia,Privada,"1,890",€9.48B,"€198,198 - €277,565",[]
Cientista de Dados,Sênior,Presencial,company_031,"New Brunswick, NJ",a day ago,"New Brunswick, NJ, US",Saúde,Pública,"128,860",€412.87B,"€97,046 - €131,295","['aws', 'powerbi', 'r', 'python', 'airflow', 'machine learning', 'azure', 'tableau']"
